P_ID,COUNTRY,LOB,SITE,PR_SIZE,MC_SIZE,COUNTRY_RMEAN,LOB_RMEAN,SITE_RMEAN,PSIZE_RMEAN,CSIZE_RMEAN,SOC,SOC_MIT,PROC,PROC_MIT,ENG,ENG_MIT,WEA,WEA_MIT,MGM,MGM_MIT,SOC_EMEAN,PROC_EMEAN,ENG_EMEAN,WEA_EMEAN,MGM_EMEAN,DEV_RAN,DEV_EVE,DEV_TOT,DUR_BL,DUR_AC
PR00001,NO,2,25% - 40%,<0%,OTHER,0.083800926,0.055271335,0.22246574,0.010400029,0.459048182,5,0,6,0,6,3,4,0,5,1,0.026352576,0.023362551,0.018365581,0.033877958,0.006250886,0.241584107,0.099031977,0.364540635,11,15.01
PR00002,YES,1,>90%,40% - 60%,FIXED,0.107749129,0.009798963,0.032105239,0.13468952,0.253748038,6,2,3,2,3,3,1,1,4,4,0.025311479,0.02886366,0.011809689,0.041943371,0.008845526,0.158636502,0.013721394,0.17453461,15,17.62
PR00003,YES,8,>90%,60% - 80%,OTHER,0.08561387,0.269463991,0.029626459,0.159894309,0.388874409,6,1,7,3,7,4,2,1,4,4,0.054403325,0.02801393,0.023298258,0.03085593,0.01274779,0.270497237,0.081346643,0.373847922,35,48.08
PR00004,NO,7,50% - 60%,<0%,OTHER,0.084805386,0.139294862,0.315458418,0.008273636,0.285085558,0,0,4,0,7,4,2,0,5,3,0.03281271,0.019181945,0.010370038,0.036904482,0.004913632,0.277632674,0.050715536,0.3424285,33,44.3
PR00005,YES,6,60% - 75%,60% - 80%,FIXED,0.148586113,0.117505935,0.121489812,0.07499654,0.276094366,4,2,7,1,3,2,2,0,3,3,0.045893311,0.023381006,0.013876477,0.044671048,0.011836339,0.218431052,0.070094152,0.303835944,21,27.38
PR00006,YES,5,25% - 40%,>80%,OTHER,0.143383263,0.111360095,0.187373593,0.168872628,0.678547493,8,0,6,3,4,1,2,2,2,2,0.071037918,0.028902998,0.00959578,0.03444073,0.008583749,0.37591729,0.065942802,0.466649132,26,38.13
PR00007,YES,5,10% - 25%,0% - 20%,OTHER,0.130188419,0.156145016,0.289284997,0.025527088,0.469618688,2,2,3,1,3,2,1,1,3,2,0.047444055,0.023945317,0.023417303,0.026184253,0.007742227,0.324210969,0.024121223,0.356152556,12,16.27
PR00008,YES,4,75% - 90%,>80%,OTHER,0.189444896,0.060299973,0.098076915,0.177859636,0.361014872,2,2,2,0,3,0,7,2,5,0,0.027942346,0.042538846,0.014116231,0.042343621,0.008035098,0.266150221,0.08681518,0.37607128,22,30.27
PR00009,YES,3,<10%,<0%,FIXED,0.161681753,0.105177581,0.223722178,0.006608911,0.246447932,2,2,8,4,5,1,2,1,4,4,0.060506527,0.036594462,0.018613866,0.02204146,0.006218475,0.228344756,0.078103832,0.324283189,29,38.4
PR00010,YES,4,25% - 40%,>80%,OTHER,0.193709412,0.064933615,0.200262348,0.202600665,0.87112517,4,1,6,4,6,3,5,3,0,0,0.047257701,0.018301665,0.011725759,0.029494204,0.014241078,0.433878507,0.043938246,0.496880614,15,22.45
